Name,Phone Number,Feedback,Message,Timestamp,Duration(s),Initial Spoken To,Follow-up Status,Followup Message,Followup Timestamp,Follow-up Count,Follow-up Spoken To
Priyas jeeva swara raga Academy,9042080901,Not Picked,,07-05-2025 10:31,136,,Not Interested,no requirement,09-06-2025 15:44,100,
PH DANCE STUDIO,7339134979,Not Picked,,07-05-2025 10:32,60,,Not Picked,,09-06-2025 15:46,79,
Unitone Arts Collective,7395951503,Follow Up,,07-05-2025 10:33,88,,Not Interested,no requirement,27-06-2025 17:36,65,
DDS dance studio A/C,9677129536,Not Picked,,07-05-2025 10:34,52,,Not Interested,no requirement,09-06-2025 15:48,119,
D Counts Dance Studio,9080858934,Follow Up,need to discuss with his partner,07-05-2025 10:36,99,,Not Picked,,27-06-2025 17:37,28,
SISOMAD,9150528787,Not Picked,,07-05-2025 10:42,39,,Not Picked,,09-06-2025 15:49,82,
Mahamaaya Natiyalaya - Dance studio,9789585883,Not Picked,,07-05-2025 10:43,26,,Not Picked,,09-06-2025 15:50,77,
Shree Music Academy - Poonamallee,9514015550,Not Interested,they don't have video clipping person,07-05-2025 10:51,505,,,,,,
"Beatz Academy - Music School for Vocals, Instruments & Dance Classes",9789893277,Not Picked,,07-05-2025 10:54,152,,Not Interested,,09-06-2025 15:51,41,
Sindhu Natiyakala Kenthram,8838633660,Not Picked,number invalid,07-05-2025 10:54,32,,,,,,
AR ACADEMY OF DANCE - Best Online/Offline Classes for Bharathanatyam,7904916264,Follow Up,they yet to decide,07-05-2025 10:56,79,,Not Interested,no requirement,23-05-2025 17:14,50,
TAPASYA NATYALAYA,9677539232,Not Picked,,07-05-2025 10:58,141,,,,,,
Sree Nirthyapriya Temple Of Arts Maduravoyal,8190908010,Not Interested,,07-05-2025 10:59,41,,,,,,
Shuffle School of Fine Arts,7305654096,Not Picked,,07-05-2025 10:59,25,,,,,,
"SJ Academy of dance,music, yoga& fitness, zumba & Abacus",9884857892,Not Interested,don't call again,07-05-2025 11:01,57,,,,,,
"Achintya music, Drawing, School in Mangadu",8124383891,not interested,,07-05-2025 11:01,47,,Not Picked,,25-06-2025 16:18,453,
Sivagama Vidhya Saraswathi dance and music academy,9087009541,Not Picked,,07-05-2025 11:03,77,,,,,,
"Everglo - Best Skin and Hair Clinic in Mogappair( Dermatology and Cosmetology ) Laser Hair Removal, Skin Whitening Treatment",9884401282,Not Interested,,07-05-2025 11:04,50,,,,,,
Armoraa Clinic | Dermatologist in Anna Nagar,7559175591,Not Picked,,07-05-2025 11:04,22,,,,,,
SOUL SKIN CLINIC,9788000909,Follow Up,"need to call 1 clk, dr. Saranya",07-05-2025 11:10,338,,Not Interested,no requirement now,23-05-2025 17:15,51,
SARUMAM CLINIC | Skin clinic in mogappair| Dermatologist in mogappair |Best skin clinic in mogappair,7969006166,Not Picked,,07-05-2025 11:11,57,,,,,,
The Radiance Elite Hair & Skin Aesthetic Clinic,9600004085,Follow Up,need to call after 12 clk,07-05-2025 11:12,66,,Not Picked,,20-06-2025 17:37,114,
Dermicoskin clinic,9566002502,Not Picked,,07-05-2025 11:13,30,,,,,0,
Advanced GroHair & GloSkin Clinic - Mogappair,8270956789,Not Picked,,07-05-2025 11:13,27,,,,,0,
Dr. Muthu Latha - Dermatologist in Mogappair,9487411875,Not Picked,,07-05-2025 11:14,67,,,,,0,
FAMILY CLINIC,9171333368,Not Picked,,07-05-2025 11:15,15,,,,,0,
SKIN CLINIQ (Dr.Farook),9363021390,Not Interested,,07-05-2025 11:16,75,,,,,,
Dr.R.Indhra Priyadharshini,9940166469,Not Picked,,07-05-2025 11:17,55,,,,,0,
Dr. Thilak's Dermacure,9655223311,Not Picked,,07-05-2025 11:18,17,,,,,0,
Dr Padma,9940060967,Not Picked,,07-05-2025 11:20,151,,,,,0,
"Milir Skin Hair and Laser Clinic ,Ashok Nagar | Skin Care | Hair Care | Hair Transplant | GFC Treatment",9554995594,Not Picked,,07-05-2025 11:21,57,,,,,0,
Sripriya skin and hair clinic,6379530435,Not Picked,number in invalid,07-05-2025 11:22,34,,,,,0,
Raj Cosmetic & Plastic Surgery Hospital,8838355534,Not Picked,switched off,07-05-2025 11:23,35,,,,,0,
OLIVE Skin Health Clinic @ Kolathur by Dr.Vidhya.C,8056204575,Not Picked,,07-05-2025 11:24,95,,,,,0,
ROHITH HEALTH CARE CENTRE,9840853145,Not Interested,,07-05-2025 11:25,45,,,,,,
Dr. Mayuri chandrasekhar Dermatologist & Cosmetologist,6369721916,Not Interested,no requirement,07-05-2025 11:28,168,,,,,,
"SKIN, HAIR AND ORTHO- SRI KUMARAN CLINIC KOLATHUR",9840205200,Follow Up,need to call after 7 clk,07-05-2025 11:30,117,,Not Interested,no requirement,26-05-2025 15:13,57,
Dr. Dinesh's Skin & Hair Clinic | Dr. D Dinesh Kumar | Anna Nagar | Skin Care Clinic | Hair Care Clinic | Dermatologist,9003217799,Not Picked,,07-05-2025 11:31,62,,Follow Up,if need will call back,25-06-2025 16:29,55,
DermiGlow Clinic,8048028885,Interested,need to meet tomorrow after 11.30- 8248800587- villivakkam,14-11-2012 11:38,426,,Not Picked,unable to call,11-09-2025 16:57,21,
Kolors Hair & Skin Clinic - Perambur,7569546666,Not Picked,,07-05-2025 11:42,189,,,,,,
GKS SKIN AND ORTHO CLINIC,7824001144,Not Picked,,07-05-2025 11:42,5,,,,,,
"Nderm Aesthetic Clinic ,Kolathur - Chennai : Acne Scar, PRP, GFC, Hair Fall ,Skin Whitening",8925924454,Not Picked,,07-05-2025 11:49,435,,,,,,
SkinCare Clinic,9551602429,Not Picked,number invalid,07-05-2025 11:50,37,,,,,,
Kaya Clinic - Annanagar,8657569376,Not Picked,,07-05-2025 11:52,109,,,,,,
"Oliva Clinic Anna Nagar, Chennai: Laser Hair Removal, Acne Scar, PRP, Hair Fall, Skin Whitening, Weight Loss Treatments",9205480470,Not Picked,ivr,07-05-2025 11:52,15,,,,,,
Dr Gomathy Dermatologist,9884649462,Not Picked,,07-05-2025 11:54,85,,,,,,
Maruthii Siddha Varma Clinic,9551955130,Not Interested,,07-05-2025 11:55,68,,,,,,
LAKSHMI MEDICAL CENTRE,9884731975,Follow Up,will call later,07-05-2025 11:56,51,,Not Picked,,27-06-2025 17:37,14,
DR Youth Clinic - Skin & Hair Care - Chennai,9994449535,Follow Up,dr. Indra need to send details in whatsapp,07-05-2025 11:57,93,,Not Interested,"no requirement, no requirement now",26-05-2025 15:15,110,
MAAYA SPECIALITY HOSPITALS,9884983434,Follow Up,"vignesh, need to send details in whatsapp will check",07-05-2025 11:59,86,,Not Interested,no requirement,26-05-2025 15:17,110,
"SmileKraft Skin, Hair & Cosmetology Clinic",9500055131,Not Picked,not picked,07-05-2025 12:00,30,,,,,,
Avira skin and hair clinic,8754405555,Not Picked,,07-05-2025 14:17,30,,,,,,
Dr. Nivedita Raveendran Skin & Hair Clinic,9500060141,Not Picked,,07-05-2025 14:17,15,,,,,,
"Dermis Skin and Hair Clinic | Dermatologist | Best Skin Doctor Adyar, Chennai",9566125531,Not Picked,,07-05-2025 14:18,37,,,,,,
Skin Research Centre,9962565628,Not Picked,,07-05-2025 14:18,32,,,,,,
"Aarthi Skin Care Clinic, MRC Nagar",9840562734,Not Picked,,07-05-2025 14:20,90,,,,,,
Dr Subhashini Mohan's The Skin Cliniq,7904851093,Not Picked,,07-05-2025 14:24,258,,,,,,
Swaroop Skin & Hair Care Clinic,9940245230,Not Picked,,07-05-2025 14:25,40,,,,,,
"Dermi Jan, Adyar | Top Skin & Hair Care Clinic in Chennai | Skin Whitening, Glutathione, Hydra & Medi Facial, GFC",9003444435,Not Interested,,07-05-2025 14:26,47,,,,,,
KAYVEE AESTHETIC CLINIC,7305508663,Not Picked,switched off,07-05-2025 14:26,14,,,,,,
"Oliva Clinic Adyar: Laser Hair Removal, Acne Scar, PRP, Hair Loss, Pigmentation, Skin Whitening Treatments In Chennai",8977755471,Not Picked,ivr,07-05-2025 14:27,47,,,,,,
Skeptre - Dermatology & Aesthetics,8056465987,Not Picked,,07-05-2025 14:29,96,,,,,,
"Dr Lavanya Skin, Hair & Laser Clinic, (Porur). Dermatologist, Cosmetologist & Specialist in Skin, Hair Treatment.",9626262945,Follow Up,need to call after some time,07-05-2025 14:38,552,,Not Interested,no requirement,18-06-2025 12:41,55,
FAMILY CLINIC,9171333368,Not Interested,,07-05-2025 14:39,21,,,,,,
Shakti Skin Clinic,9176575641,Not Picked,,07-05-2025 14:39,28,,,,,,
S.B. DIABETES AND SKIN CARE CENTRE,9444923180,Follow Up,"Sangeetha, need to send details in wh",07-05-2025 14:41,110,,Not Interested,no requirement,20-06-2025 17:39,75,
RYRA AESTHETICS | SKIN | HAIR & LASER CLINIC,7845849104,Not Picked,,07-05-2025 14:42,28,,,,,,
Vijaykumar Skin Clinic,9865767961,Not Interested,no requirement,07-05-2025 14:43,54,,,,,,
Adi's Skin Clinic,9884182729,Not Interested,,07-05-2025 14:45,161,,,,,,
Sakthi Multi Speciality Clinic,9941055915,Not Picked,,07-05-2025 14:46,49,,Not Interested,,09-06-2025 17:10,108,
Dr. Narayanan A | Dermatologist,9080862264,Follow Up,"narayanan, need to send details in whatsapp",07-05-2025 14:48,86,,Not Interested,if need will call back,26-05-2025 15:23,206,
Amara Med Aesthetics - Trusted Skin Care Clinic & Best Hair Clinic in Chennai,7402677677,Not Picked,,07-05-2025 14:51,188,,Not Picked,,09-06-2025 17:14,203,
OM SKIN CLINIC,7299074820,Not Picked,,07-05-2025 14:54,155,,Not Picked,,09-06-2025 17:15,44,
Best Dermatologist - Dr. Pushpa | Apollo Hospitals | Tiruvallur,8046961837,Not Picked,,07-05-2025 14:54,38,,Not Picked,number invalid,09-06-2025 17:15,26,
Maynee Cosmetology Clinic,9384838505,Not Picked,ibr,07-05-2025 14:55,17,,,,,0,
Dr.Manasa Devi Rajkumar | Consult With Best Dermatology Doctor Near Me | Leprosy | Psoriasis | Vitiligo | 3+ Yrs. of Exp.,8044826141,Not Picked,,07-05-2025 14:55,13,,Not Picked,,09-06-2025 17:16,67,
Kolors Healthcare Porur,9014496666,Not Picked,,07-05-2025 14:56,26,,Not Picked,,09-06-2025 17:21,241,
U derma skin & hair clinic,7200165155,Not Picked,,07-05-2025 14:58,114,,Not Interested,no requirement,09-06-2025 17:21,49,
Rotary Skin Clinic,7358046690,Not Picked,,07-05-2025 14:59,101,,Not Picked,,09-06-2025 17:23,64,
Dakshan Skin Clinic,8939152152,Not Picked,,07-05-2025 15:01,113,,Not Picked,,18-06-2025 12:04,22,
Dr.Subramaniam,7338709209,Not Picked,,07-05-2025 15:03,78,,Not Picked,,09-06-2025 17:27,87,
Aarudhran skin and hair care clinic,8248893094,Not Picked,,07-05-2025 15:20,1058,,Not Picked,,18-06-2025 12:13,488,
Neu Face Skin Hair & Laser Clinic,8248607066,Not Picked,number invalid,07-05-2025 15:22,83,,,,,,
Melanin Aesthetic Clinic,9080530291,Not Picked,,07-05-2025 15:23,50,,Not Picked,,09-06-2025 17:28,27,
EYASHICA HEALTH CARE SKIN AND E.N.T CLINIC,9840507020,Not Picked,switched off,07-05-2025 15:24,43,,,,,,
Wellness clinic,8778013302,Not Picked,switched off,07-05-2025 15:24,32,,,,,,
Jothi Clinic,7200480996,Not Picked,,07-05-2025 15:25,41,,Not Interested,no requirement,09-06-2025 17:30,117,
Dr. Dinesh Raj Skin and Hair Clinic,8925210333,Not Picked,switched off,07-05-2025 15:26,32,,,,,,
Dr. Kavithaís Skin and Hair Clinic,9789005454,Not Interested,,07-05-2025 15:27,66,,,,,,
ROHITH HEALTH CARE CENTRE,9840853145,Not Interested,,07-05-2025 15:28,29,,,,,,
Dr Vasu's Skin & Hair clinic- MR nagar,9445900316,Not Picked,,07-05-2025 15:28,41,,Not Interested,no requirement,09-06-2025 17:32,59,
Britto Clinic,7598852080,Not Picked,,07-05-2025 15:29,56,,Not Picked,,09-06-2025 17:34,118,
Renuka aesthetic cosmetology skin & hair wellness beauty care,8248681425,Not Picked,,07-05-2025 15:35,327,,Not Picked,,25-06-2025 16:32,17,
Dr Vasu's Skin & Hair clinic- Manali,9080466169,Not Interested,no requirement,07-05-2025 15:36,49,,,,,,
Dr. V.N.S. Ahamed Shariff Skin& Hair Clinic,9884359574,Not Picked,,07-05-2025 15:36,24,,Not Picked,,09-06-2025 17:37,97,
SkinCare Clinic,9551602429,Not Picked,number invalid,07-05-2025 15:37,30,,,,,,
"Angel Skin, Hair & Nail Clinic",9840749626,Not Picked,,07-05-2025 15:38,74,,Not Picked,,09-06-2025 17:38,70,
Villa Plots in Poonamallee,8925562556,Follow Up,Mithun is in leave,07-05-2025 15:38,74,,,,,0,
Joy Trips,7358627473,Not picked,,07-05-2025 15:38,74,,Not Picked,,09-06-2025 17:40,94,
The Tours Company,9003320694,not picked,,07-05-2025 15:38,74,,Not Picked,,30-06-2025 16:55,177,
Rade's Tours And Travels,9884067333,Follow Up,,09-05-2025 10:15,133,,Not Picked,,27-06-2025 17:37,19,
Xpert Tours and Travels,9841203396,Follow Up,,09-05-2025 10:17,115,,Not Picked,,09-06-2025 17:44,48,
ARMK TRAVELS,8807574392,Not Picked,,09-05-2025 10:18,67,,Not Picked,,09-06-2025 17:45,53,
SS TOURS & TRAVELS,9884748262,Not Picked,,15-11-2014 10:18,19,,Interested,send the details again to his whatsapp. he can pay 2k,11-09-2025 17:03,328,Gopinath
Garuda Tours & Travels,9840789844,Not Picked,,09-05-2025 10:19,57,,Not Interested,no requirement,09-06-2025 17:49,40,
Global Standard tours & travels,9092999931,Follow Up,,09-05-2025 10:22,183,,Not Picked,,27-06-2025 17:38,19,
SJB TOUR PLANNERS,8015067015,Not Picked,,09-05-2025 10:23,34,,Not Picked,,18-06-2025 12:13,48,
Yatrika Tours Pvt Ltd,8148410666,Not Picked,,09-05-2025 10:27,221,,Not Picked,,09-06-2025 18:00,57,
Vetri Tours N Travels Private Limited,7010925747,Interested,interested for free trail,09-05-2025 10:29,138,,Not Interested,no requirement,23-05-2025 17:27,36,
tour On - Chennai,8667801206,Not Interested,,09-05-2025 10:30,50,,,,,,
Universal tours and travels,8267036635,Not Picked,,09-05-2025 10:31,34,,,,,,
Om Shakthi Car Travels In Chennai,9841430169,Not Picked,,09-05-2025 10:37,380,,,,,,
Travel Fantasie,9841138013,Not Interested,,09-05-2025 10:38,43,,,,,,
Tenride,9444571589,Not Picked,,09-05-2025 10:39,51,,,,,,
Tamizhan Trails India Pvt Ltd | Best Tour Operator in Chennai | Best Travel Company in Tamilnadu | Best Travel Agency,9884979894,Not Picked,,09-05-2025 10:54,870,,,,,,
VETRI TRAVELS PVT LTD,9500200014,Follow Up,,09-05-2025 10:57,182,,Not Picked,,27-06-2025 17:38,11,
Tick your Tour,9585677227,Not Picked,,09-05-2025 10:57,15,,,,,,
sai saranam shirdi Tours,9840344634,Not Interested,,09-05-2025 10:59,92,,,,,,
FUN TRIP,8695975870,Not Picked,not picked,09-05-2025 10:59,31,,,,,,
YBM Travels,7299477766,Not Interested,,09-05-2025 11:01,84,,,,,,
Travel Hunt India,9894119813,Not Interested,,09-05-2025 11:02,94,,,,,,
JAI TRAVEL AGENCY,9444294168,Not Interested,,09-05-2025 11:03,46,,,,,,
NiVi Trips,9994107265,Follow Up,kalidoss need to send details in whatsapp,09-05-2025 11:05,108,,Not Interested,"no requirement now, they have clients delhi, if planned in Chennai will call back we have details",23-05-2025 17:31,183,
VRGO,9442376334,Not Interested,,09-05-2025 11:07,87,,,,,,
SRI SAI RAM STATIONERY TOURS & TRAVELS,8682849399,Follow Up,wh not found,09-05-2025 11:08,91,,Not Interested,no requirement,23-05-2025 17:32,39,
STU HOLIDAYS,8056025660,Not Interested,,09-05-2025 11:09,44,,,,,,
Grand Royal Tours P Ltd,9159973503,Follow Up,9600626503,09-05-2025 11:12,173,,Not Picked,,27-06-2025 17:38,12,
Kolathur Om Sakthi Travels and call Drivers,9840439389,Interested,,09-05-2025 11:15,182,,Not Picked,,25-06-2025 16:33,28,
Kesavan tours and travels,9965042005,Not Picked,,09-05-2025 11:16,49,,,,,,
ALM umrah service,8838337709,Not Interested,,09-05-2025 11:18,114,,,,,,
Chikkiboo Tours & Travels Pvt Ltd | ???????? ?????????,9498418120,Not Picked,,09-05-2025 11:19,72,,Not Picked,,09-06-2025 18:01,49,
Book My Trip (bmtchennai),8668076141,Not Picked,,09-05-2025 11:20,56,,Not Picked,,09-06-2025 18:02,61,
Ss travels For Temple Tour's,7550202969,Not Picked,,09-05-2025 11:22,55,,Not Picked,,09-06-2025 18:04,68,
GuruKrupa Tours,9884222469,Interested,"sudir, need to send details in wh",09-05-2025 11:27,327,,Not Interested,,26-05-2025 15:28,35,
RITU HOLIDAYS,6382736226,Interested,priya,09-05-2025 11:31,236,,Not Picked,switched off,16-06-2025 17:33,35,
HD ADVENTURER,9940341522,Not Picked,,09-05-2025 11:31,16,,Not Interested,no requirement,09-06-2025 18:05,81,
ABIKRISHNA TOURS AND TRAVELS,9344933030,Not Picked,,09-05-2025 11:35,223,,Not Picked,,09-06-2025 18:06,46,
Alandur VelTravels-Tempo Traveler Rentals in alandur,9840797729,Not Interested,,09-05-2025 11:36,58,,,,,,
Sara Travels & Tourism,9360295339,Not Picked,,09-05-2025 11:38,103,,,,,,
Trouvaille Tours,6379377637,Follow Up,,09-05-2025 11:43,297,,Not Picked,,27-06-2025 17:39,10,
Haiku holidays,8838613687,Not Picked,,09-05-2025 11:45,92,,,,,,
Awesome Vacations,9962767788,Follow Up,nisha need to send details in whatsapp,09-05-2025 11:46,82,,Not Picked,,27-06-2025 17:39,38,
SVP Trip And Taxi,9597535215,Not Picked,switched off,09-05-2025 11:47,35,,,,,,
SANJAY TOURS,9884915925,Not Interested,,09-05-2025 11:48,70,,,,,,
Holidays4u,9551258132,Not Picked,,09-05-2025 11:50,129,,,,,,
"Capstone Holidays - Travel Agency in Chennai, Velachery",9840828312,Interested,,09-05-2025 11:54,202,,Not Picked,,27-06-2025 17:40,33,
Make U Fun Holidayz,9994044484,Not Picked,,09-05-2025 11:54,5,,,,,,
"Manodhira Tourism,India",9840335411,Not Picked,,09-05-2025 11:55,64,,,,,,
Toucan Leisures,9498477950,Not Picked,,09-05-2025 11:57,116,,,,,,
Dexter Holidays Pvt. Ltd,9500023997,Not Interested,,09-05-2025 11:58,68,,,,,,
SREEGURU HOLIDAYS,7305410627,Not Picked,,09-05-2025 12:02,198,,,,,,
RedBlue Tours,9500022693,Not Picked,,09-05-2025 12:02,30,,,,,,
Pan India Tourism,7530025888,Follow Up,wh not found,09-05-2025 12:05,139,,Not Picked,,27-06-2025 17:40,26,
Al Ahad Hajj and Umrah Service,9840789322,Follow Up,9043887628,09-05-2025 12:10,290,,Not Interested,no requirement,27-06-2025 17:41,26,
Anbu travels,9444891031,Not Interested,,09-05-2025 12:13,176,,,,,,
Sharvesh Travels,8122407172,Not Interested,,09-05-2025 12:14,86,,,,,,
HM Tours and Travels,9080835244,Not Picked,,09-05-2025 12:15,53,,,,,,
Thomas Cook,8879643656,Not Picked,,09-05-2025 12:25,585,,,,,,
Feathers Tourism India,9790905465,Follow Up,,09-05-2025 12:34,517,,Not Picked,,02-06-2025 14:24,40,
PLANYOURDESTINATIONS,9886638266,Follow Up,he is in Malaysia so need to call after may 14,09-05-2025 12:37,199,,Not Picked,,27-06-2025 17:41,20,
Easy2go Sri Balaji travels Chennai,9940121943,Not Picked,,09-05-2025 12:57,1205,,,,,,
SKB Tour Planners,8124081890,Not Picked,,09-05-2025 12:59,83,,,,,,
Shanmuga Priya Tours and Travels,9941244226,Not Picked,not picked,09-05-2025 12:59,23,,,,,,
New Trend Tours and Travel,9551077109,Not Interested,,09-05-2025 13:00,55,,,,,,
Amar Tourism,7448906368,Not Picked,switched off,09-05-2025 13:01,21,,,,,,
Hide out Student Tour Operators,9345541583,Not Picked,switched off,09-05-2025 13:01,15,,,,,,
AMS Tours and Travels,9790543641,Not Interested,,09-05-2025 13:02,24,,,,,,
GoTakeHolidays,9884082640,Not Interested,no requirement now,09-05-2025 13:03,80,,,,,,
Lovely Trails,8608060000,Not Interested,"no requirement now ,if need will call back",09-05-2025 13:05,107,,,,,,
A K P Tours & Travels chennai,9894969259,Not Picked,not picked,09-05-2025 13:05,24,,,,,,
Mayon Tours & Travels,9884350909,Follow Up,"sivakumar, need to send details in whatsapp",09-05-2025 13:09,229,,Not Interested,no requirement,25-06-2025 16:45,100,
Yathumagi Tours & Travels,9840682726,Follow Up,"malathi raja , need to send details in wh if she needs will call back",09-05-2025 13:11,101,,Not Interested,no requirement,25-06-2025 16:46,28,
Sai Babaa Tour & Travels | Chennai Best Tour Operater,8122297639,Not Picked,,09-05-2025 13:14,158,,,,,,
AKIL TOURS & EVENTS PRIVATE LIMITED,9043087796,Not Interested,,09-05-2025 13:15,42,,,,,,
Tour Times - Train Tours | Holidays | Yatras | Rail Tourism | Cruise,7305858585,Not Picked,,09-05-2025 13:15,17,,,,,,
B2B HOLIDAYS,8072626446,Follow Up,dinesh need to send details in wh,09-05-2025 13:16,66,,Not Picked,,27-06-2025 17:43,87,
Sri Ragavaa Tours and Travels,9442631943,Not Picked,switched off,09-05-2025 13:16,15,,,,,,
Dream Destinations,9003536365,Not Interested,"they want big display, so no need",09-05-2025 13:18,91,,,,,,
Best South Indian Tour,9659979682,Not Interested,they are in pudhukootai so no requirement,09-05-2025 13:19,53,,,,,,
MSM Holidays Private Limited,9342525135,Not Picked,,09-05-2025 13:20,55,,,,,,
GT Holidays,9940882200,Not Picked,,09-05-2025 13:22,100,,,,,,
Tamilnadu Tours Travels,9488751274,Not Interested,,09-05-2025 13:22,27,,,,,,
Grand Royal Tours P Ltd,9043587503,Follow Up,9751473503-arunneed to call,09-05-2025 13:26,182,,Not Picked,,25-06-2025 16:47,45,
Cornerstone Eventz,7358202451,Not Picked,,09-05-2025 14:58,97,,,,,,
V I P Spark Event Management,9940503930,Not Interested,,09-05-2025 14:59,71,,,,,,
The Big Screen | Surprise Planners in Chennai | Event Planning Services | Party Planning,8939264777,Not Interested,,09-05-2025 15:00,63,,,,,0,
Instant Event Management,8667074389,Follow Up,parthipan will talk to his team,09-05-2025 15:02,131,,Not Interested,no requirement,23-05-2025 17:55,130,
NANA EVENTS,9345052030,Not Picked,,09-05-2025 15:06,199,,,,,,
Birthday Bee,8608686235,Not Interested,,09-05-2025 15:06,11,,,,,,
Cherry Events,9884236481,Not Picked,,09-05-2025 15:07,84,,,,,,
Royal mandarin event organizer,7010500462,Interested,rubesh need to call after Monday he will do campaign for 1 month,15-11-2021 17:10,168,,Interested,send the updated details to his whatsapp. he ll pay at least 2k. but not now only next month,11-09-2025 17:07,237,Rubesh
Rosy events,9003155252,Not Picked,,09-05-2025 15:16,265,,,,,,
SARAVANA EVENTS,9551111559,Not Picked,,09-05-2025 15:21,285,,,,,,
Geethai eventz,9962030595,Not Picked,,09-05-2025 15:22,43,,,,,,
MUNNA EVENTS ATOZ PLANNER,8072056956,Not Picked,,09-05-2025 15:45,1345,,,,,,
BS ROCKS EVENTS,6382632577,Not Interested,,09-05-2025 15:47,147,,,,,,
Vibe Events,9514693223,Not Interested,,09-05-2025 15:49,105,,Not Interested,no requirement,13-06-2025 16:09,33,
Hello Wedding,9626896628,Follow Up,esther will check the details in wh and discuss with his team,09-05-2025 15:53,236,,Not Picked,,30-06-2025 17:11,15,
Chennai Balloon Decorators - Balloon Decorations in Chennai,9884244077,Not Interested,,09-05-2025 15:54,75,,,,,,
Mystery event management,9344861428,Not Picked,,09-05-2025 15:55,43,,,,,,
SM Creations,9710929544,Not Interested,"they are doing LED outdoor advertising, cost 100",09-05-2025 15:57,127,,,,,,
VD Decorators And Event Management,7550272093,Not Picked,,09-05-2025 15:59,68,,,,,,
Event Makers,9790906993,Not Picked,,09-05-2025 16:01,169,,,,,,
DREAMZZ EVENT & DECORATOR,9715132112,Not Picked,,09-05-2025 16:03,106,,,,,,
Sri Sai Seer Varisai Thattu Decorations,7200059785,Not Interested,,09-05-2025 16:10,395,,,,,,
Aikya Event Management,9884944337,Follow Up,deepak need to call after some time,09-05-2025 16:11,68,,Not Interested,no requirement,25-06-2025 16:48,38,
Dev Eventz,8124627287,Not Picked,,09-05-2025 16:12,42,,,,,,
GV SOUND'S & Event,6379447052,Not Picked,,09-05-2025 16:13,72,,,,,,
Kytes dance conservatory and events,9841564141,Not Interested,,09-05-2025 16:15,85,,,,,,
Uniq Productionz,9363043736,Not Picked,,09-05-2025 16:15,31,,,,,,
MadMaze Studios Private Limited.,9940173454,Not Picked,,09-05-2025 16:17,70,,,,,,
Live Events and Leisure India,9840146111,Not Picked,,09-05-2025 16:17,39,,,,,,
Wedding signature,8072407740,Not Picked,,09-05-2025 16:18,9,,,,,,
Brandbiz Events Private Limited,8825873032,Not Picked,not picked,09-05-2025 16:18,31,,,,,,
Events B Inc,9384175558,Not Interested,,09-05-2025 16:23,253,,,,,,
